Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
149,The Exorcist,Warner Bros.,26-Dec-73,N/A,N/A,Horror,2 hrs. 2 min.,R,"$232,906,145 "
240,Snow White and the Seven Dwarfs,Disney,21-Dec-37,N/A,N/A,Animation,1 hrs. 23 min.,G,"$184,925,486 "
304,Three Men and a Baby,Buena Vista,25-Nov-87,N/A,N/A,Comedy,1 hrs. 42 min.,PG,"$167,780,960 "
343,The Sting,Universal,25-Dec-73,N/A,N/A,Crime Comedy,2 hrs. 9 min.,PG,"$156,000,000 "
406,National Lampoon's Animal House,Universal,28-Jul-78,N/A,N/A,Comedy,1 hrs. 49 min.,R,"$141,600,000 "
114,Jaws,Universal,20-Jun-75,N/A,N/A,Horror Thriller,2 hrs. 5 min.,PG,"$260,000,000 "
407,Pocahontas,Buena Vista,16-Jun-95,N/A,N/A,Animation,1 hrs. 21 min.,G,"$141,579,773 "
26,The Lion King,Buena Vista,15-Jun-94,N/A,N/A,Animation,1 hrs. 29 min.,G,"$422,783,777 "
411,The Blair Witch Project,Artisan,16-Jul-99,N/A,N/A,Horror,1 hrs. 26 min.,R,"$140,539,099 "
266,Tootsie,Columbia,17-Dec-82,N/A,N/A,Comedy,1 hrs. 59 min.,PG,"$177,200,000 "
518,Rocky III,United Artists,28-May-82,N/A,N/A,Sports Drama,1 hrs. 39 min.,PG,"$125,049,125 "
136,My Big Fat Greek Wedding,IFC,19-Apr-02,N/A,N/A,Romantic Comedy,1 hrs. 35 min.,PG,"$241,438,208 "
250,Lincoln,Buena Vista,9-Nov-12,N/A,N/A,Historical Drama,2 hrs. 25 min.,PG-13,"$182,207,973 "
242,Dances with Wolves,Orion Pictures,9-Nov-90,N/A,N/A,Western,3 hrs. 3 min.,PG-13,"$184,208,848 "
358,Gremlins,Warner Bros.,8-Jun-84,N/A,N/A,Horror Comedy,1 hrs. 46 min.,PG,"$153,083,102 "
423,The King's Speech,Weinstein Company,26-Nov-10,N/A,N/A,Historical Drama,1 hrs. 58 min.,R,"$138,797,449 "
37,Frozen,Buena Vista,22-Nov-13,N/A,N/A,Animation,1 hrs. 48 min.,PG,"$400,738,009 "
322,A Bug's Life,Buena Vista,20-Nov-98,N/A,N/A,Animation,1 hrs. 36 min.,G,"$162,798,565 "
130,Toy Story 2,Buena Vista,19-Nov-99,N/A,N/A,Animation,1 hrs. 32 min.,G,"$245,852,179 "
463,Silver Linings Playbook,Weinstein Company,16-Nov-12,N/A,N/A,Comedy,2 hrs. 2 min.,R,"$132,092,958 "
167,Beauty and the Beast,Buena Vista,15-Nov-91,N/A,N/A,Animation,1 hrs. 24 min.,G,"$218,967,620 "
173,Aladdin,Buena Vista,13-Nov-92,N/A,N/A,Animation,1 hrs. 30 min.,G,"$217,350,219 "
409,Slumdog Millionaire,Fox Searchlight,12-Nov-08,N/A,N/A,Drama,2 hrs. 0 min.,R,"$141,319,928 "
209,Gone with the Wind,MGM,15-Dec-39,N/A,N/A,Historical Epic,3 hrs. 58 min.,G,"$200,852,579 "
389,101 Dalmatians,Disney,25-Jan-61,N/A,N/A,Animation,1 hrs. 19 min.,G,"$144,880,014 "
404,The Jungle Book,Disney,18-Oct-67,N/A,N/A,Animation,1 hrs. 18 min.,G,"$141,843,612 "
478,American Beauty,DreamWorks,15-Sep-99,N/A,N/A,Drama,2 hrs. 2 min.,R,"$130,096,601 "
362,La La Land,Lionsgate/Summit,9-Dec-16,N/A,N/A,Musical,2 hrs. 8 min.,PG-13,"$151,101,803 "
487,"Crouching Tiger, Hidden Dragon",Sony Classics,8-Dec-00,N/A,N/A,Foreign / Action,2 hrs. 0 min.,PG-13,"$128,078,872 "
400,Juno,Fox Searchlight,5-Dec-07,N/A,N/A,Comedy / Drama,1 hrs. 31 min.,PG-13,"$143,495,265 "
428,Good Will Hunting,Miramax,5-Dec-97,N/A,N/A,Drama,2 hrs. 6 min.,R,"$138,433,435 "
296,Chicago,Miramax,27-Dec-02,N/A,N/A,Musical,1 hrs. 47 min.,PG-13,"$170,687,518 "
525,Traffic,USA Films,27-Dec-00,N/A,N/A,Crime Drama,2 hrs. 27 min.,R,"$124,115,725 "
299,Hidden Figures,Fox,25-Dec-16,N/A,N/A,Drama,2 hrs. 7 min.,PG,"$169,607,287 "
245,The Revenant,Fox,25-Dec-15,N/A,N/A,Action / Adventure,2 hrs. 31 min.,R,"$183,637,894 "
54,American Sniper,Warner Bros.,25-Dec-14,N/A,N/A,Drama,2 hrs. 12 min.,R,"$350,126,372 "
516,Lone Survivor,Universal,25-Dec-13,N/A,N/A,Action Drama,2 hrs. 1 min.,R,"$125,095,601 "
295,A Beautiful Mind,Universal,21-Dec-01,N/A,N/A,Period Drama,2 hrs. 16 min.,PG-13,"$170,742,341 "
191,Mission: Impossible - Ghost Protocol,Paramount,16-Dec-11,N/A,N/A,Action,2 hrs. 12 min.,PG-13,"$209,397,903 "
451,Superman,Warner Bros.,15-Dec-78,N/A,N/A,Action / Adventure,2 hrs. 23 min.,PG,"$134,451,603 "
370,American Hustle,Sony / Columbia,13-Dec-13,N/A,N/A,Drama,2 hrs. 18 min.,R,"$150,117,807 "
379,Gran Torino,Warner Bros.,12-Dec-08,N/A,N/A,Action Drama,1 hrs. 56 min.,R,"$148,095,302 "
17,Star Wars,Fox,25-May-77,N/A,N/A,Sci-Fi Fantasy,2 hrs. 1 min.,PG,"$460,998,007 "
95,The Empire Strikes Back,Fox,21-May-80,N/A,N/A,Sci-Fi Fantasy,2 hrs. 9 min.,PG,"$290,475,067 "
160,The Fate of the Furious,Universal,14-Apr-17,98786705,"4,329",Action,2 hrs. 16 min.,PG-13,"$226,008,385 "
71,Iron Man,Paramount,2-May-08,98618668,"4,154",Action / Adventure,2 hrs. 6 min.,PG-13,"$318,412,101 "
53,Transformers: Dark of the Moon,Paramount (DreamWorks),29-Jun-11,97852865,"4,088",Sci-Fi Action,2 hrs. 34 min.,PG-13,"$352,390,543 "
140,Fast & Furious 6,Universal,24-May-13,97375245,"3,771",Action,2 hrs. 10 min.,PG-13,"$238,679,850 "
115,Captain America: The Winter Soldier,Buena Vista,4-Apr-14,95023721,"3,938",Action / Adventure,2 hrs. 16 min.,PG-13,"$259,766,572 "
63,Guardians of the Galaxy,Buena Vista,1-Aug-14,94320883,"4,088",Action / Adventure,2 hrs. 1 min.,PG-13,"$333,176,600 "
152,Justice League,Warner Bros.,17-Nov-17,93842239,"4,051",Action / Adventure,1 hrs. 59 min.,PG-13,"$229,024,295 "
127,Harry Potter and the Prisoner of Azkaban,Warner Bros.,4-Jun-04,93687367,"3,855",Fantasy,2 hrs. 22 min.,PG,"$249,759,843 "
211,Godzilla (2014),Warner Bros.,16-May-14,93188384,"3,952",Sci-Fi Action,2 hrs. 3 min.,PG-13,"$200,676,069 "
100,The Matrix Reloaded,Warner Bros.,15-May-03,91774413,"3,603",Sci-Fi Action,2 hrs. 18 min.,R,"$281,576,461 "
202,The Amazing Spider-Man 2,Sony / Columbia,2-May-14,91608337,"4,324",Action / Adventure,2 hrs. 22 min.,PG-13,"$202,853,933 "
147,X-Men: Days of Future Past,Fox,23-May-14,90823660,"4,001",Action / Adventure,2 hrs. 11 min.,PG-13,"$233,921,534 "
50,Inside Out,Buena Vista,19-Jun-15,90440272,"4,158",Animation,1 hrs. 34 min.,PG,"$356,461,711 "
72,Harry Potter and the Sorcerer's Stone,Warner Bros.,16-Nov-01,90294621,"3,672",Fantasy,2 hrs. 33 min.,PG,"$317,871,467 "
138,Pirates of the Caribbean: On Stranger Tides,Buena Vista,20-May-11,90151958,"4,164",Period Adventure,2 hrs. 17 min.,PG-13,"$241,071,802 "
229,Grease,Paramount,16-Jun-78,8941717,862,Musical,1 hrs. 50 min.,PG,"$189,969,103 "
158,Logan (2017),Fox,3-Mar-17,88411916,"4,071",Action / Adventure,2 hrs. 15 min.,R,"$226,277,068 "
82,Skyfall,Sony / Columbia,9-Nov-12,88364714,"3,526",Action,2 hrs. 23 min.,PG-13,"$304,360,277 "
110,Harry Potter and the Chamber of Secrets,Warner Bros.,15-Nov-02,88357488,"3,682",Fantasy,2 hrs. 41 min.,PG,"$262,233,983 "
44,Spider-Man 2,Sony / Columbia,30-Jun-04,88156227,"4,166",Action / Adventure,2 hrs. 7 min.,PG-13,"$373,585,825 "
280,The Greatest Showman,Fox,20-Dec-17,8805843,"3,342",Musical,1 hrs. 45 min.,PG,"$174,340,174 "
189,Fast Five,Universal,29-Apr-11,86198765,"3,793",Action,2 hrs. 10 min.,PG-13,"$209,837,675 "
122,The Hangover Part II,Warner Bros.,26-May-11,85946294,"3,675",Comedy,1 hrs. 42 min.,R,"$254,464,305 "
199,Thor: The Dark World,Buena Vista,8-Nov-13,85737841,"3,841",Action / Adventure,2 hrs. 0 min.,PG-13,"$206,362,140 "
182,X2: X-Men United,Fox,2-May-03,85558731,"3,749",Action / Adventure,2 hrs. 14 min.,PG-13,"$214,949,694 "
309,Fifty Shades of Grey,Universal,13-Feb-15,85171450,"3,655",Romance,2 hrs. 5 min.,R,"$166,167,230 "
150,Doctor Strange,Buena Vista,4-Nov-16,85058311,"3,882",Action / Adventure,1 hrs. 55 min.,PG-13,"$232,641,920 "
258,X-Men Origins: Wolverine,Fox,1-May-09,85058003,"4,102",Action / Adventure,1 hrs. 47 min.,PG-13,"$179,883,157 "
83,The Hobbit: An Unexpected Journey,Warner Bros. (New Line),14-Dec-12,84617303,"4,100",Fantasy,2 hrs. 46 min.,PG-13,"$303,003,568 "
184,Solo: A Star Wars Story,Buena Vista,25-May-18,84420489,"4,381",Action / Adventure,2 hrs. 15 min.,PG-13,"$213,767,512 "
45,The Passion of the Christ,Newmarket,25-Feb-04,83848082,"3,408",Historical Drama,2 hrs. 6 min.,R,"$370,782,930 "
47,Despicable Me 2,Universal,3-Jul-13,83517315,"4,003",Animation,1 hrs. 38 min.,PG,"$368,061,265 "
129,Raiders of the Lost Ark,Paramount,12-Jun-81,8305823,"1,078",Period Adventure,1 hrs. 55 min.,PG,"$248,159,971 "
107,Monsters University,Buena Vista,21-Jun-13,82429469,"4,004",Animation,1 hrs. 47 min.,G,"$268,492,764 "
260,Top Gun,Paramount,16-May-86,8193052,"1,531",Action Drama,1 hrs. 50 min.,PG,"$179,800,601 "
278,Crocodile Dundee,Paramount,26-Sep-86,8038855,"1,495",Adventure Comedy,1 hrs. 33 min.,PG-13,"$174,803,506 "
185,Venom (2018),Sony / Columbia,5-Oct-18,80255756,"4,250",Action,1 hrs. 52 min.,PG-13,"$213,515,506 "
77,Star Wars: Episode II - Attack of the Clones,Fox,16-May-02,80027814,"3,161",Sci-Fi Fantasy,2 hrs. 12 min.,PG,"$310,676,740 "
142,Oz The Great and Powerful,Buena Vista,8-Mar-13,79110453,"3,912",Adventure,2 hrs. 7 min.,PG,"$234,911,825 "
84,Harry Potter and the Half-Blood Prince,Warner Bros.,15-Jul-09,77835727,"4,455",Fantasy,2 hrs. 33 min.,PG,"$302,089,278 "
119,I Am Legend,Warner Bros.,14-Dec-07,77211321,"3,648",Sci-Fi Horror,1 hrs. 40 min.,PG-13,"$256,393,010 "
92,Harry Potter and the Order of the Phoenix,Warner Bros.,11-Jul-07,77108414,"4,285",Fantasy,2 hrs. 19 min.,PG-13,"$292,137,260 "
172,The Da Vinci Code,Sony / Columbia,19-May-06,77073388,"3,757",Thriller,2 hrs. 29 min.,PG-13,"$217,536,138 "
3,Avatar,Fox,18-Dec-09,77025481,"3,461",Sci-Fi Adventure,2 hrs. 40 min.,PG-13,"$760,507,625 "
333,Halloween (2018),Universal,19-Oct-18,76221545,"3,990",Horror,1 hrs. 49 min.,R,"$159,342,015 "
341,Fatal Attraction,Paramount,18-Sep-87,7602740,"1,401",Thriller,2 hrs. 3 min.,R,"$156,645,693 "
176,Ant-Man and the Wasp,Buena Vista,6-Jul-18,75812205,"4,206",Action,1 hrs. 58 min.,PG-13,"$216,648,740 "
118,Star Trek,Paramount,8-May-09,75204289,"4,053",Sci-Fi Adventure,2 hrs. 6 min.,PG-13,"$257,730,019 "
56,Zootopia,Buena Vista,4-Mar-16,75063401,"3,959",Animation,1 hrs. 48 min.,PG,"$341,268,248 "
146,Fantastic Beasts and Where To Find Them,Warner Bros.,18-Nov-16,74403387,"4,144",Fantasy,2 hrs. 20 min.,PG-13,"$234,037,575 "
247,The Simpsons Movie,Fox,27-Jul-07,74036787,"3,926",Animation,1 hrs. 27 min.,PG-13,"$183,135,014 "
116,The Hobbit: The Desolation of Smaug,Warner Bros. (New Line),13-Dec-13,73645197,"3,928",Fantasy,2 hrs. 41 min.,PG-13,"$258,366,855 "
186,Austin Powers in Goldmember,New Line,26-Jul-02,73071188,"3,613",Comedy,1 hrs. 34 min.,PG-13,"$213,307,889 "
43,The Lord of the Rings: The Return of the King,New Line,17-Dec-03,72629713,"3,703",Fantasy,3 hrs. 20 min.,PG-13,"$377,845,905 "
194,Dawn of the Planet of the Apes,Fox,11-Jul-14,72611427,"3,969",Sci-Fi Action,2 hrs. 10 min.,PG-13,"$208,545,589 "
109,Despicable Me 3,Universal,30-Jun-17,72434025,"4,535",Animation,1 hrs. 30 min.,PG,"$264,624,300 "
151,The Lost World: Jurassic Park,Universal,23-May-97,72132785,"3,565",Sci-Fi Horror,2 hrs. 9 min.,PG-13,"$229,086,679 "
276,Us,Universal,22-Mar-19,71117625,"3,743",Thriller,1 hrs. 56 min.,R,"$175,005,930 "
349,Fast and Furious,Universal,3-Apr-09,70950500,"3,674",Action,1 hrs. 39 min.,PG-13,"$155,064,265 "
187,300,Warner Bros.,9-Mar-07,70885301,"3,280",Period Action,1 hrs. 57 min.,R,"$210,614,939 "
139,Shrek Forever After,Paramount (DreamWorks),21-May-10,70838207,"4,386",Animation,1 hrs. 33 min.,PG,"$238,736,787 "
70,Transformers,Paramount (DreamWorks),3-Jul-07,70502384,"4,050",Sci-Fi Action,2 hrs. 23 min.,PG-13,"$319,246,193 "
112,The Incredibles,Buena Vista,5-Nov-04,70467623,"3,933",Animation,1 hrs. 55 min.,PG,"$261,441,092 "
213,Spectre,Sony / Columbia,6-Nov-15,70403148,"3,929",Action,2 hrs. 28 min.,PG-13,"$200,074,609 "
41,Finding Nemo,Buena Vista,30-May-03,70251710,"3,425",Animation,1 hrs. 44 min.,G,"$380,843,261 "
183,Dr. Seuss' The Lorax,Universal,2-Mar-12,70217070,"3,769",Animation,1 hrs. 35 min.,PG,"$214,030,500 "
153,Star Trek Into Darkness,Paramount,16-May-13,70165559,"3,907",Sci-Fi Adventure,2 hrs. 3 min.,PG-13,"$228,778,661 "
287,Rain Man,MGM,16-Dec-88,7005719,"1,590",Drama,2 hrs. 13 min.,R,"$172,825,435 "
222,Twilight,Summit Entertainment,21-Nov-08,69637740,"3,649",Romance,2 hrs. 0 min.,PG-13,"$192,769,854 "
137,Maleficent,Buena Vista,30-May-14,69431298,"3,948",Fantasy,1 hrs. 37 min.,PG,"$241,410,378 "
157,The Bourne Ultimatum,Universal,3-Aug-07,69283690,"3,701",Action Thriller,1 hrs. 51 min.,PG-13,"$227,471,070 "
241,Pitch Perfect 2,Universal,15-May-15,69216890,"3,660",Comedy,1 hrs. 55 min.,PG-13,"$184,296,230 "
117,The LEGO Movie,Warner Bros.,7-Feb-14,69050279,"3,890",Animation,1 hrs. 40 min.,PG,"$257,760,692 "
238,The Day After Tomorrow,Fox,28-May-04,68743584,"3,444",Action Drama,2 hrs. 4 min.,PG-13,"$186,740,799 "
256,Planet of the Apes (2001),Fox,27-Jul-01,68532960,"3,530",Sci-Fi Action,1 hrs. 59 min.,PG-13,"$180,011,740 "
204,The Mummy Returns,Universal,4-May-01,68139035,"3,553",Period Adventure,2 hrs. 10 min.,PG-13,"$202,019,785 "
89,Up,Buena Vista,29-May-09,68108790,"3,886",Animation,1 hrs. 36 min.,PG,"$293,004,164 "
219,Ice Age: The Meltdown,Fox,31-Mar-06,68033544,"3,969",Animation,1 hrs. 30 min.,PG,"$195,330,621 "
133,Bruce Almighty,Universal,23-May-03,67953330,"3,549",Fantasy Comedy,1 hrs. 41 min.,PG-13,"$242,829,261 "
207,Cinderella (2015),Buena Vista,13-Mar-15,67877361,"3,848",Fantasy,1 hrs. 52 min.,PG,"$201,151,353 "
60,Aquaman,Warner Bros.,21-Dec-18,67873522,"4,184",Action / Adventure,2 hrs. 19 min.,PG-13,"$335,061,807 "
105,Dr. Seuss' The Grinch (2018),Universal,9-Nov-18,67572855,"4,141",Animation,1 hrs. 30 min.,PG,"$270,620,950 "
301,Quantum of Solace,Sony / Columbia,14-Nov-08,67528882,"3,501",Action,1 hrs. 46 min.,PG-13,"$168,368,427 "
159,Rush Hour 2,New Line,3-Aug-01,67408222,"3,118",Action Comedy,1 hrs. 30 min.,PG-13,"$226,164,286 "
203,World War Z,Paramount,21-Jun-13,66411834,"3,607",Action Horror,1 hrs. 56 min.,PG-13,"$202,359,711 "
141,Brave,Buena Vista,22-Jun-12,66323594,"4,164",Animation,1 hrs. 40 min.,PG,"$237,283,207 "
225,Cars 2,Buena Vista,24-Jun-11,66135507,"4,115",Animation,1 hrs. 53 min.,G,"$191,452,396 "
345,X-Men: Apocalypse,Fox,27-May-16,65769562,"4,153",Action / Adventure,2 hrs. 23 min.,PG-13,"$155,442,489 "
253,Thor,Paramount,6-May-11,65723338,"3,963",Action / Adventure,1 hrs. 55 min.,PG-13,"$181,030,624 "
226,Teenage Mutant Ninja Turtles (2014),Paramount,8-Aug-14,65575105,"3,980",Action / Adventure,1 hrs. 41 min.,PG-13,"$191,204,754 "
93,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Buena Vista,9-Dec-05,65556312,"3,853",Fantasy,2 hrs. 12 min.,PG,"$291,710,957 "
310,2012,Sony / Columbia,13-Nov-09,65237614,"3,444",Action Drama,2 hrs. 38 min.,PG-13,"$166,112,167 "
269,Captain America: The First Avenger,Paramount,22-Jul-11,65058524,"3,715",Action / Adventure,2 hrs. 5 min.,PG-13,"$176,654,505 "
145,War of the Worlds,Paramount,29-Jun-05,64878725,"3,910",Sci-Fi Horror,1 hrs. 57 min.,PG-13,"$234,280,354 "
85,The Twilight Saga: Eclipse,Summit Entertainment,30-Jun-10,64832191,"4,468",Romance,2 hrs. 4 min.,PG-13,"$300,531,751 "
16,Star Wars: Episode I - The Phantom Menace,Fox,19-May-99,64820970,"3,126",Sci-Fi Fantasy,2 hrs. 13 min.,PG,"$474,544,677 "
257,Madagascar: Escape 2 Africa,Paramount (DreamWorks),7-Nov-08,63106589,"4,065",Animation,1 hrs. 29 min.,PG,"$180,010,950 "
161,WALL-E,Buena Vista,27-Jun-08,63087526,"3,992",Animation,1 hrs. 37 min.,G,"$223,808,164 "
288,Pirates of the Caribbean: Dead Men Tell No Tales,Buena Vista,26-May-17,62983253,"4,276",Period Adventure,2 hrs. 9 min.,PG-13,"$172,558,876 "
90,Inception,Warner Bros.,16-Jul-10,62785337,"3,792",Sci-Fi Action,2 hrs. 28 min.,PG-13,"$292,576,195 "
156,Hancock,Sony / Columbia,2-Jul-08,62603879,"3,965",Fantasy Drama,1 hrs. 32 min.,PG-13,"$227,946,274 "
97,"Monsters, Inc.",Buena Vista,2-Nov-01,62577067,"3,649",Animation,1 hrs. 30 min.,G,"$289,916,256 "
193,Sherlock Holmes,Warner Bros.,25-Dec-09,62304277,"3,626",Adventure,2 hrs. 14 min.,PG-13,"$209,028,679 "
332,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,16-Nov-18,62163104,"4,163",Fantasy,2 hrs. 14 min.,PG-13,"$159,555,901 "
462,Hulk,Universal,20-Jun-03,62128420,"3,674",Action / Adventure,2 hrs. 15 min.,PG-13,"$132,177,234 "
55,The Lord of the Rings: The Two Towers,New Line,18-Dec-02,62007528,"3,622",Fantasy,2 hrs. 59 min.,PG-13,"$342,551,365 "
111,The Amazing Spider-Man,Sony / Columbia,3-Jul-12,62004688,"4,318",Action / Adventure,2 hrs. 16 min.,PG-13,"$262,030,663 "
163,Mission: Impossible - Fallout,Paramount,27-Jul-18,61236534,"4,395",Action,2 hrs. 27 min.,PG-13,"$220,159,104 "
318,Clash of the Titans (2010),Warner Bros.,2-Apr-10,61235105,"3,802",Fantasy,1 hrs. 58 min.,PG-13,"$163,214,888 "
303,Kong: Skull Island,Warner Bros.,10-Mar-17,61025472,"3,846",Action / Adventure,1 hrs. 58 min.,PG-13,"$168,052,812 "
178,Madagascar 3: Europe's Most Wanted,Paramount (DreamWorks),8-Jun-12,60316738,"4,263",Animation,1 hrs. 33 min.,PG,"$216,391,482 "
179,Kung Fu Panda,Paramount (DreamWorks),6-Jun-08,60239130,"4,136",Animation,1 hrs. 31 min.,PG,"$215,434,591 "
327,Straight Outta Compton,Universal,14-Aug-15,60200180,"3,142",Drama,2 hrs. 27 min.,R,"$161,197,785 "
132,Cars,Buena Vista,9-Jun-06,60119509,"3,988",Animation,1 hrs. 56 min.,G,"$244,082,982 "
155,Signs,Buena Vista,2-Aug-02,60117080,"3,453",Sci-Fi Horror,1 hrs. 47 min.,PG-13,"$227,966,634 "
215,Monsters Vs. Aliens,Paramount (DreamWorks),27-Mar-09,59321095,"4,136",Animation,1 hrs. 34 min.,PG,"$198,351,526 "
335,Star Trek Beyond,Paramount,22-Jul-16,59253211,"3,928",Sci-Fi Adventure,2 hrs. 0 min.,PG-13,"$158,848,340 "
323,Jason Bourne,Universal,29-Jul-16,59215365,"4,039",Action,2 hrs. 3 min.,PG-13,"$162,434,410 "
214,Pearl Harbor,Buena Vista,25-May-01,59078912,"3,255",War,3 hrs. 3 min.,PG-13,"$198,542,554 "
465,Fantastic Four: Rise of the Silver Surfer,Fox,15-Jun-07,58051684,"3,963",Action / Adventure,1 hrs. 29 min.,PG,"$131,921,738 "
313,Hannibal,MGM,9-Feb-01,58003121,"3,292",Thriller,2 hrs. 11 min.,R,"$165,092,268 "
180,Mission: Impossible II,Paramount,24-May-00,57845297,"3,669",Action,2 hrs. 3 min.,PG-13,"$215,409,889 "
255,Ant-Man,Buena Vista,17-Jul-15,57225526,"3,868",Action / Adventure,1 hrs. 57 min.,PG-13,"$180,202,163 "
224,22 Jump Street,Sony / Columbia,13-Jun-14,57071445,"3,426",Action Comedy,1 hrs. 52 min.,R,"$191,719,337 "
360,Sex and the City,Warner Bros. (New Line),30-May-08,57038404,"3,325",Romantic Comedy,2 hrs. 15 min.,R,"$152,647,258 "
294,John Wick: Chapter 3 - Parabellum,Lionsgate/Summit,17-May-19,56818067,"3,850",Action,2 hrs. 10 min.,R,"$171,015,687 "
128,Moana,Buena Vista,23-Nov-16,56631401,"3,875",Animation,1 hrs. 43 min.,PG,"$248,757,044 "
123,Despicable Me,Universal,9-Jul-10,56397125,"3,602",Animation,1 hrs. 35 min.,PG,"$251,513,985 "
381,War for the Planet of the Apes,Fox,14-Jul-17,56262929,"4,100",Sci-Fi Action,2 hrs. 20 min.,PG-13,"$146,880,162 "
208,Ralph Breaks the Internet,Buena Vista,21-Nov-18,56237634,"4,017",Animation,1 hrs. 52 min.,PG,"$201,091,711 "
347,Snow White and the Huntsman,Universal,1-Jun-12,56217700,"3,777",Adventure,2 hrs. 7 min.,PG-13,"$155,332,381 "
162,Big Hero 6,Buena Vista,7-Nov-14,56215889,"3,773",Animation,1 hrs. 48 min.,PG,"$222,527,828 "
197,Charlie and the Chocolate Factory,Warner Bros.,15-Jul-05,56178450,"3,790",Family Adventure,1 hrs. 46 min.,PG,"$206,459,076 "
351,Fantastic Four (2005),Fox,8-Jul-05,56061504,"3,619",Action / Adventure,2 hrs. 3 min.,PG-13,"$154,696,080 "
104,Gravity,Warner Bros.,4-Oct-13,55785112,"3,820",Sci-Fi Thriller,1 hrs. 31 min.,PG-13,"$274,092,705 "
270,The Karate Kid,Sony / Columbia,11-Jun-10,55665805,"3,740",Action Drama,2 hrs. 20 min.,PG,"$176,591,618 "
220,Mission: Impossible - Rogue Nation,Paramount,31-Jul-15,55520089,"3,988",Action,2 hrs. 10 min.,PG-13,"$195,042,377 "
